path,HIG,EXO,TOP,SUS,SMP,EXO,BPH,B2G,HIN,TRK,JME,MUO,EGM,TAU,BTV,PF,AlCa,DPG,TSG,Owners,online,validation,Rate,Pure Rate,PS,stream,dataset,L1 seed
HLT_DoubleL2Mu50_v,,todo,,,,,,,,,,,,,,,,,,1,yes,,6.52,4.48,1,PhysicsMuons,DoubleMuon,L1_SingleMu3 OR L1_SingleMu5 OR L1_SingleMu7 OR L1_SingleMu18 OR L1_SingleMu20 OR L1_SingleMu22 OR L1_SingleMu25
HLT_DoubleL2Mu30NoVtx_2Cha_Eta2p4_v,,todo,,,,,,,,,,,,,,,,,,1,yes,,18.74,0,1,PhysicsMuons,DoubleMuon,L1_DoubleMu_12_5 OR L1_DoubleMu_15_5_SQ OR L1_DoubleMu_15_7 OR L1_TripleMu_5_3_3
HLT_DoubleL2Mu30NoVtx_2Cha_CosmicSeed_Eta2p4_v,,todo,,,,,,,,,,,,,,,,,,1,yes,,12.22,0,1,PhysicsMuons,DoubleMuon,L1_DoubleMu_12_5 OR L1_DoubleMu_15_5_SQ OR L1_DoubleMu_15_7 OR L1_TripleMu_5_3_3
HLT_DoubleL2Mu25NoVtx_2Cha_v,,todo,,,,,,,,,,,,,,,,,,1,yes,,16.7,0,1,PhysicsMuons,DoubleMuon,L1_DoubleMu_12_5 OR L1_DoubleMu_15_5_SQ OR L1_DoubleMu_15_7 OR L1_TripleMu_5_3_3
HLT_DoubleL2Mu25NoVtx_2Cha_NoL2Matched_v,,,,,,,,,,,,,,,,,,,,0,yes,,27.29,0,1,PhysicsMuons,DoubleMuon,L1_DoubleMu_12_5 OR L1_DoubleMu_15_5_SQ OR L1_DoubleMu_15_7 OR L1_TripleMu_5_3_3 OR L1_SingleMu22
HLT_DoubleL2Mu25NoVtx_2Cha_Eta2p4_v,,todo,,,,todo,,,,,,,,,,,,,,2,yes,,22.81,0,1,PhysicsMuons,DoubleMuon,L1_DoubleMu_12_5 OR L1_DoubleMu_15_5_SQ OR L1_DoubleMu_15_7 OR L1_TripleMu_5_3_3
HLT_DoubleL2Mu25NoVtx_2Cha_CosmicSeed_v,,todo,,,,,,,,,,,,,,,,,,1,yes,,14.26,0,1,PhysicsMuons,DoubleMuon,L1_DoubleMu_12_5 OR L1_DoubleMu_15_5_SQ OR L1_DoubleMu_15_7 OR L1_TripleMu_5_3_3
HLT_DoubleL2Mu25NoVtx_2Cha_CosmicSeed_NoL2Matched_v,,,,,,,,,,,,,,,,,,,,0,yes,,15.48,0,1,PhysicsMuons,DoubleMuon,L1_DoubleMu_12_5 OR L1_DoubleMu_15_5_SQ OR L1_DoubleMu_15_7 OR L1_TripleMu_5_3_3 OR L1_SingleMu22
HLT_DoubleL2Mu25NoVtx_2Cha_CosmicSeed_Eta2p4_v,,todo,,,,todo,,,,,,,,,,,,,,2,yes,,16.29,0,1,PhysicsMuons,DoubleMuon,L1_DoubleMu_12_5 OR L1_DoubleMu_15_5_SQ OR L1_DoubleMu_15_7 OR L1_TripleMu_5_3_3
HLT_DoubleL2Mu23NoVtx_2Cha_v,todo,,,,,,,,,,,,,,,,,,,1,yes,,17.92,0,1,PhysicsMuons,DoubleMuon,L1_DoubleMu_15_5_SQ OR L1_DoubleMu_15_7 OR L1_TripleMu_5_3_3 OR L1_DoubleMu0er1p5_SQ_OS_dR_Max1p4 OR L1_DoubleMu4p5_SQ_OS_dR_Max1p2 OR L1_DoubleMu0_Upt15_Upt7 OR L1_DoubleMu0_Upt6_IP_Min1_Upt4
HLT_DoubleL2Mu23NoVtx_2Cha_NoL2Matched_v,,,,,,,,,,,,,,,,,,,,0,yes,,30.14,1.63,1,PhysicsMuons,DoubleMuon,L1_DoubleMu_12_5 OR L1_DoubleMu_15_5_SQ OR L1_DoubleMu_15_7 OR L1_TripleMu_5_3_3 OR L1_SingleMu22
HLT_DoubleL2Mu23NoVtx_2Cha_CosmicSeed_v,,todo,,,,todo,,,,,,,,,,,,,,2,yes,,15.89,0,1,PhysicsMuons,DoubleMuon,L1_DoubleMu_15_5_SQ OR L1_DoubleMu_15_7 OR L1_TripleMu_5_3_3 OR L1_DoubleMu0er1p5_SQ_OS_dR_Max1p4 OR L1_DoubleMu4p5_SQ_OS_dR_Max1p2 OR L1_DoubleMu0_Upt15_Upt7 OR L1_DoubleMu0_Upt6_IP_Min1_Upt4
HLT_DoubleL2Mu23NoVtx_2Cha_CosmicSeed_NoL2Matched_v,,,,,,,,,,,,,,,,,,,,0,yes,,16.7,0,1,PhysicsMuons,DoubleMuon,L1_DoubleMu_12_5 OR L1_DoubleMu_15_5_SQ OR L1_DoubleMu_15_7 OR L1_TripleMu_5_3_3 OR L1_SingleMu22
HLT_DoubleL2Mu10NoVtx_2Cha_VetoL3Mu0DxyMax1cm_v,,todo,,,,,,,,,,,,,,,,,,1,yes,,5.7,2.85,1,PhysicsMuons,DoubleMuon,L1_DoubleMu_15_5_SQ OR L1_DoubleMu_15_7 OR L1_TripleMu_5_3_3 OR L1_DoubleMu0er1p5_SQ_OS_dR_Max1p4 OR L1_DoubleMu4p5_SQ_OS_dR_Max1p2 OR L1_DoubleMu0_Upt15_Upt7 OR L1_DoubleMu0_Upt6_IP_Min1_Upt4
HLT_TrimuonOpen_5_3p5_2_Upsilon_Muon_v,,,,,,,todo,,,,,,,,,,,,,1,yes,,2.85,1.22,1,PhysicsMuons,DoubleMuonLowMass,L1_TripleMu_5SQ_3SQ_0_DoubleMu_5_3_SQ_OS_Mass_Max9
HLT_Trimuon5_3p5_2_Upsilon_Muon_v,todo,,,,,,todo,,,,,,,,,,,,,2,yes,,15.89,10.18,1,PhysicsMuons,DoubleMuonLowMass,L1_TripleMu_5_3p5_2p5_DoubleMu_5_2p5_OS_Mass_5to17 OR L1_TripleMu_5_4_2p5_DoubleMu_5_2p5_OS_Mass_5to17
HLT_Tau3Mu_Mu7_Mu1_TkMu1_Tau15_v,,,,,,,todo,,,,,,,,,,,,,1,yes,,2.44,0,10,PhysicsMuons,DoubleMuonLowMass,L1_DoubleMu_15_7 OR L1_DoubleMu4_SQ_OS_dR_Max1p2 OR L1_DoubleMu4p5_SQ_OS_dR_Max1p2 OR L1_SingleMu22 OR L1_SingleMu25 OR L1_DoubleMu0er1p5_SQ_OS_dR_Max1p4 OR L1_DoubleMu0er1p4_SQ_OS_dR_Max1p4 OR L1_TripleMu_5SQ_3SQ_0OQ_DoubleMu_5_3_SQ_OS_Mass_Max9 OR L1_TripleMu_5SQ_3SQ_0_DoubleMu_5_3_SQ_OS_Mass_Max9
HLT_Tau3Mu_Mu7_Mu1_TkMu1_Tau15_Charge1_v,,,,,,,todo,,,,,,,,,,,,,1,yes,,2.44,0,10,PhysicsMuons,DoubleMuonLowMass,L1_DoubleMu_15_7 OR L1_DoubleMu4_SQ_OS_dR_Max1p2 OR L1_DoubleMu4p5_SQ_OS_dR_Max1p2 OR L1_SingleMu22 OR L1_SingleMu25 OR L1_DoubleMu0er1p5_SQ_OS_dR_Max1p4 OR L1_DoubleMu0er1p4_SQ_OS_dR_Max1p4 OR L1_TripleMu_5SQ_3SQ_0OQ_DoubleMu_5_3_SQ_OS_Mass_Max9 OR L1_TripleMu_5SQ_3SQ_0_DoubleMu_5_3_SQ_OS_Mass_Max9
HLT_Tau3Mu_Mu7_Mu1_TkMu1_IsoTau15_v,,,,,,,todo,,,,,,,,,,,,,1,yes,,4.48,0,1,PhysicsMuons,DoubleMuonLowMass,L1_DoubleMu_15_7 OR L1_DoubleMu4_SQ_OS_dR_Max1p2 OR L1_DoubleMu4p5_SQ_OS_dR_Max1p2 OR L1_SingleMu22 OR L1_SingleMu25 OR L1_DoubleMu0er1p5_SQ_OS_dR_Max1p4 OR L1_DoubleMu0er1p4_SQ_OS_dR_Max1p4 OR L1_TripleMu_5SQ_3SQ_0OQ_DoubleMu_5_3_SQ_OS_Mass_Max9 OR L1_TripleMu_5SQ_3SQ_0_DoubleMu_5_3_SQ_OS_Mass_Max9
HLT_Tau3Mu_Mu7_Mu1_TkMu1_IsoTau15_Charge1_v,,,,,,,todo,,,,,,,,,,,,,1,yes,,4.48,0,1,PhysicsMuons,DoubleMuonLowMass,L1_DoubleMu_15_7 OR L1_DoubleMu4_SQ_OS_dR_Max1p2 OR L1_DoubleMu4p5_SQ_OS_dR_Max1p2 OR L1_SingleMu22 OR L1_SingleMu25 OR L1_DoubleMu0er1p5_SQ_OS_dR_Max1p4 OR L1_DoubleMu0er1p4_SQ_OS_dR_Max1p4 OR L1_TripleMu_5SQ_3SQ_0OQ_DoubleMu_5_3_SQ_OS_Mass_Max9 OR L1_TripleMu_5SQ_3SQ_0_DoubleMu_5_3_SQ_OS_Mass_Max9
HLT_Mu7p5_Track7_Upsilon_v,,,,,,,todo,,,,,,,,,,,,,1,yes,,0,0,1,PhysicsMuons,DoubleMuonLowMass,L1_SingleMu5 OR L1_SingleMu7
HLT_Mu7p5_Track7_Jpsi_v,,,,,,,todo,,,,,,,,,,,,,1,yes,,0.41,0,1,PhysicsMuons,DoubleMuonLowMass,L1_SingleMu5 OR L1_SingleMu7
HLT_Mu7p5_Track3p5_Upsilon_v,,,,,,,todo,,,,,,,,,,,,,1,yes,,1.22,0,1,PhysicsMuons,DoubleMuonLowMass,L1_SingleMu5 OR L1_SingleMu7
HLT_Mu7p5_Track3p5_Jpsi_v,,,,,,,todo,,,,,,,,,,,,,1,yes,,2.85,0,1,PhysicsMuons,DoubleMuonLowMass,L1_SingleMu5 OR L1_SingleMu7
HLT_Mu7p5_Track2_Upsilon_v,,,,,,,todo,,,,,,,,,,,,,1,yes,,3.67,2.44,1,PhysicsMuons,DoubleMuonLowMass,L1_SingleMu5 OR L1_SingleMu7
HLT_Mu7p5_Track2_Jpsi_v,,,,,,,todo,,,,,,,,,,,,,1,yes,,4.89,2.04,1,PhysicsMuons,DoubleMuonLowMass,L1_SingleMu5 OR L1_SingleMu7
HLT_Mu7p5_L2Mu2_Upsilon_v,,,,,,,todo,,,,,,,,,,,,,1,yes,,0,0,1,PhysicsMuons,DoubleMuonLowMass,L1_DoubleMu0_SQ
HLT_Mu7p5_L2Mu2_Jpsi_v,,,,,,,todo,,,,,,,,,,,,,1,yes,,0.41,0,1,PhysicsMuons,DoubleMuonLowMass,L1_DoubleMu0_SQ
HLT_Mu4_L1DoubleMu_v,,,,,,,done,,,,,,,,,,,,,1,yes,,,,1000,PhysicsMuons,DoubleMuonLowMass,L1_DoubleMu3er2p0_SQ_OS_dR_Max1p4 OR L1_DoubleMu0er2p0_SQ_OS_dEta_Max1p6 OR L1_DoubleMu0er1p4_OQ_OS_dEta_Max1p6 OR L1_DoubleMu0er2p0_SQ_OS_dEta_Max1p5 OR L1_DoubleMu0er1p4_SQ_OS_dR_Max1p4 OR L1_DoubleMu0er1p5_SQ_OS_dR_Max1p4 OR L1_DoubleMu4p5_SQ_OS_dR_Max1p2 OR L1_DoubleMu4_SQ_OS_dR_Max1p2
HLT_Mu30_TkMu0_Upsilon_v,,,,,,,todo,,,,,,,,,,,,,1,yes,,1.22,0.41,1,PhysicsMuons,DoubleMuonLowMass,L1_SingleMu20 OR L1_SingleMu22 OR L1_SingleMu25
HLT_Mu30_TkMu0_Psi_v,,,,,,,todo,,,,,,,,,,,,,1,yes,,3.26,0,1,PhysicsMuons,DoubleMuonLowMass,L1_SingleMu20 OR L1_SingleMu22 OR L1_SingleMu25
HLT_Mu25_TkMu0_Phi_v,,,,,,,todo,,,,,,,,,,,,,1,yes,,3.67,2.44,1,PhysicsMuons,DoubleMuonLowMass,L1_SingleMu18 OR L1_SingleMu20 OR L1_SingleMu22 OR L1_SingleMu25
HLT_Mu25_TkMu0_Onia_v,,,,,,,todo,,,,,,,,,,,,,1,yes,,0,0,0,PhysicsMuons,DoubleMuonLowMass,L1_SingleMu20 OR L1_SingleMu22 OR L1_SingleMu25
HLT_Mu20_TkMu0_Phi_v,,,,,,,todo,,,,,,,,,,,,,1,yes,,0,0,0,PhysicsMuons,DoubleMuonLowMass,L1_SingleMu18 OR L1_SingleMu20 OR L1_SingleMu22 OR L1_SingleMu25
HLT_DoubleMu5_Upsilon_DoubleEle3_CaloIdL_TrackIdL_v,,,,,,,todo,,,,,,,,,,,,,1,yes,,0,0,1,PhysicsMuons,DoubleMuonLowMass,L1_DoubleMu5_OS_er2p3_Mass_8to14_DoubleEG3er2p1_Mass_Max20
HLT_DoubleMu4_MuMuTrk_Displaced_v,,,,,,,done,,,,,,,,,,,,,1,yes,,114.88,83.51,1,PhysicsMuons,DoubleMuonLowMass,L1_DoubleMu0er1p5_SQ_OS_dR_Max1p4 OR L1_DoubleMu0er1p4_SQ_OS_dR_Max1p4 OR L1_DoubleMu4p5_SQ_OS_dR_Max1p2 OR L1_DoubleMu4_SQ_OS_dR_Max1p2
HLT_DoubleMu4_JpsiTrkTrk_Displaced_v,,,,,,,todo,,,,,,,,,,,,,1,yes,,37.48,12.63,1,PhysicsMuons,DoubleMuonLowMass,L1_DoubleMu0er1p5_SQ_OS_dR_Max1p4 OR L1_DoubleMu0er1p4_SQ_OS_dR_Max1p4 OR L1_DoubleMu4p5_SQ_OS_dR_Max1p2 OR L1_DoubleMu4_SQ_OS_dR_Max1p2
HLT_DoubleMu4_Jpsi_NoVertexing_v,,,,,,,todo,,,,,,,,,,,,,1,yes,,1.63,0.81,240,PhysicsMuons,DoubleMuonLowMass,L1_DoubleMu0er1p5_SQ_OS_dR_Max1p4 OR L1_DoubleMu0er1p4_SQ_OS_dR_Max1p4 OR L1_DoubleMu4p5_SQ_OS_dR_Max1p2 OR L1_DoubleMu4_SQ_OS_dR_Max1p2
HLT_DoubleMu4_Jpsi_Displaced_v,,,,,,,todo,,,,,,,,,,,,,1,yes,,1.63,0,60,PhysicsMuons,DoubleMuonLowMass,L1_DoubleMu0er1p5_SQ_OS_dR_Max1p4 OR L1_DoubleMu0er1p4_SQ_OS_dR_Max1p4 OR L1_DoubleMu4p5_SQ_OS_dR_Max1p2 OR L1_DoubleMu4_SQ_OS_dR_Max1p2
HLT_DoubleMu4_3_Jpsi_v,,,,,,,todo,,,,,,,,,,,,,1,yes,,17.11,8.15,20,PhysicsMuons,DoubleMuonLowMass,L1_DoubleMu3er2p0_SQ_OS_dR_Max1p4 OR L1_DoubleMu0er2p0_SQ_OS_dEta_Max1p6 OR L1_DoubleMu0er1p4_OQ_OS_dEta_Max1p6 OR L1_DoubleMu0er2p0_SQ_OS_dEta_Max1p5 OR L1_DoubleMu0er1p4_SQ_OS_dR_Max1p4 OR L1_DoubleMu0er1p5_SQ_OS_dR_Max1p4 OR L1_DoubleMu4p5_SQ_OS_dR_Max1p2 OR L1_DoubleMu4_SQ_OS_dR_Max1p2
HLT_DoubleMu4_3_Bs_v,,,,,,,todo,,,,,,,,,,,,,1,yes,,19.96,19.15,1,PhysicsMuons,DoubleMuonLowMass,L1_DoubleMu3er2p0_SQ_OS_dR_Max1p4 OR L1_DoubleMu0er2p0_SQ_OS_dEta_Max1p6 OR L1_DoubleMu0er1p4_OQ_OS_dEta_Max1p6 OR L1_DoubleMu0er2p0_SQ_OS_dEta_Max1p5 OR L1_DoubleMu0er1p4_SQ_OS_dR_Max1p4 OR L1_DoubleMu0er1p5_SQ_OS_dR_Max1p4 OR L1_DoubleMu4p5_SQ_OS_dR_Max1p2 OR L1_DoubleMu4_SQ_OS_dR_Max1p2
HLT_DoubleMu3_Trk_Tau3mu_v,,,,,,,todo,,,,,,,,,,,,,1,yes,,4.07,3.26,20,PhysicsMuons,DoubleMuonLowMass,L1_DoubleMu0er1p5_SQ_OS_dR_Max1p4 OR L1_DoubleMu0er1p4_SQ_OS_dR_Max1p4 OR L1_TripleMu_5SQ_3SQ_0_DoubleMu_5_3_SQ_OS_Mass_Max9 OR L1_DoubleMu4_SQ_OS_dR_Max1p2 OR L1_DoubleMu4p5_SQ_OS_dR_Max1p2
HLT_DoubleMu3_Trk_Tau3mu_NoL1Mass_v,,,,,,,todo,,,,,,,,,,,,,1,yes,,0.81,0,1,PhysicsMuons,DoubleMuonLowMass,L1_TripleMu_5SQ_3SQ_0OQ
HLT_DoubleMu3_TkMu_DsTau3Mu_v,,,,,,,todo,,,,,,,,,,,,,1,yes,,12.63,11,1,PhysicsMuons,DoubleMuonLowMass,L1_DoubleMu0er1p5_SQ_OS_dR_Max1p4 OR L1_DoubleMu0er1p4_SQ_OS_dR_Max1p4 OR L1_TripleMu_5SQ_3SQ_0_DoubleMu_5_3_SQ_OS_Mass_Max9 OR L1_DoubleMu4_SQ_OS_dR_Max1p2 OR L1_DoubleMu4p5_SQ_OS_dR_Max1p2
HLT_DoubleMu3_DoubleEle7p5_CaloIdL_TrackIdL_Upsilon_v,,,,,,,todo,,,,,,,,,,,,,1,yes,,0.41,0.41,1,PhysicsMuons,DoubleMuonLowMass,L1_DoubleMu3_OS_er2p3_Mass_Max14_DoubleEG7p5_er2p1_Mass_Max20
HLT_DoubleMu2_Jpsi_DoubleTrk1_Phi1p05_v,,,,,,,todo,,,,,,,,,,,,,1,yes,,27.7,13.85,1,PhysicsMuons,DoubleMuonLowMass,L1_DoubleMu0er1p5_SQ_OS_dR_Max1p4 OR L1_DoubleMu0er1p4_SQ_OS_dR_Max1p4 OR L1_DoubleMu4p5_SQ_OS_dR_Max1p2 OR L1_DoubleMu4_SQ_OS_dR_Max1p2
HLT_DoubleMu2_Jpsi_DoubleTkMu0_Phi_v,,,,,,,todo,,,,,,,,,,,,,1,yes,,3.26,2.04,1,PhysicsMuons,DoubleMuonLowMass,L1_DoubleMu0er1p5_SQ_OS_dR_Max1p4 OR L1_DoubleMu0er1p4_SQ_OS_dR_Max1p4 OR L1_DoubleMu4p5_SQ_OS_dR_Max1p2 OR L1_DoubleMu4_SQ_OS_dR_Max1p2
HLT_Dimuon25_Jpsi_v,,,,,,,todo,,,,,,,,,,,,,1,yes,,11.81,0.81,1,PhysicsMuons,DoubleMuonLowMass,L1_DoubleMu4_SQ_OS_dR_Max1p2 OR L1_DoubleMu4p5_SQ_OS_dR_Max1p2 OR L1_DoubleMu0er1p5_SQ_OS_dR_Max1p4 OR L1_DoubleMu0er1p4_SQ_OS_dR_Max1p4
HLT_Dimuon25_Jpsi_noCorrL1_v,,,,,,,todo,,,,,,,,,,,,,1,yes,,10.59,0,1,PhysicsMuons,DoubleMuonLowMass,L1_DoubleMu8_SQ OR L1_DoubleMu9_SQ
HLT_Dimuon24_Upsilon_noCorrL1_v,,,,,,,todo,,,,,,,,,,,,,1,yes,,5.7,0.81,1,PhysicsMuons,DoubleMuonLowMass,L1_DoubleMu8_SQ OR L1_DoubleMu9_SQ
HLT_Dimuon24_Phi_noCorrL1_v,,,,,,,todo,,,,,,,,,,,,,1,yes,,2.85,1.22,1,PhysicsMuons,DoubleMuonLowMass,L1_DoubleMu8_SQ OR L1_DoubleMu9_SQ
HLT_Dimuon20_Jpsi_Barrel_Seagulls_v,,,,,,,todo,,,,,,,,,,,,,1,yes,,0,0,0,PhysicsMuons,DoubleMuonLowMass,L1_DoubleMu0er1p5_SQ_OS_dR_Max1p4 OR L1_DoubleMu0er1p4_SQ_OS_dR_Max1p4
HLT_Dimuon18_PsiPrime_v,,,,,,,todo,,,,,,,,,,,,,1,yes,,6.11,2.44,1,PhysicsMuons,DoubleMuonLowMass,L1_DoubleMu4_SQ_OS_dR_Max1p2 OR L1_DoubleMu4p5_SQ_OS_dR_Max1p2 OR L1_DoubleMu0er1p5_SQ_OS_dR_Max1p4 OR L1_DoubleMu0er1p4_SQ_OS_dR_Max1p4
HLT_Dimuon18_PsiPrime_noCorrL1_v,,,,,,,todo,,,,,,,,,,,,,1,yes,,3.67,0,1,PhysicsMuons,DoubleMuonLowMass,L1_DoubleMu8_SQ OR L1_DoubleMu9_SQ
HLT_Dimuon14_Phi_Barrel_Seagulls_v,,,,,,,todo,,,,,,,,,,,,,1,yes,,13.44,10.59,1,PhysicsMuons,DoubleMuonLowMass,L1_DoubleMu0er1p5_SQ_OS_dR_Max1p4 OR L1_DoubleMu0er1p4_SQ_OS_dR_Max1p4
HLT_Dimuon12_Upsilon_y1p4_v,,,,,,,todo,,,,,,,,,,,,,1,yes,,19.15,12.63,1,PhysicsMuons,DoubleMuonLowMass,L1_DoubleMu4p5er2p0_SQ_OS_Mass_Min7 OR L1_DoubleMu4p5er2p0_SQ_OS_Mass_7to18
HLT_Dimuon10_PsiPrime_Barrel_Seagulls_v,,,,,,,todo,,,,,,,,,,,,,1,yes,,0,0,0,PhysicsMuons,DoubleMuonLowMass,L1_DoubleMu0er1p5_SQ_OS_dR_Max1p4 OR L1_DoubleMu0er1p4_SQ_OS_dR_Max1p4
HLT_Dimuon0_Upsilon_NoVertexing_v,,,,,,,todo,,,,,,,,,,,,,1,yes,,1.63,0,180,PhysicsMuons,DoubleMuonLowMass,L1_DoubleMu4p5er2p0_SQ_OS_Mass_Min7 OR L1_DoubleMu4p5er2p0_SQ_OS_Mass_7to18
HLT_Dimuon0_Upsilon_Muon_NoL1Mass_v,,,,,,,todo,,,,,,,,,,,,,1,yes,,0.41,0,1,PhysicsMuons,DoubleMuonLowMass,L1_TripleMu_5_3p5_2p5
HLT_Dimuon0_Upsilon_Muon_L1_TM0_v,,,,,,,todo,,,,,,,,,,,,,1,yes,,0,0,0,PhysicsMuons,DoubleMuonLowMass,L1_TripleMu0
HLT_Dimuon0_Upsilon_L1_5M_v,,,,,,,todo,,,,,,,,,,,,,1,yes,,0,0,0,PhysicsMuons,DoubleMuonLowMass,L1_DoubleMu4p5er2p0_SQ_OS_Mass_Min7 OR L1_DoubleMu4p5er2p0_SQ_OS_Mass_7to18
HLT_Dimuon0_Upsilon_L1_5_v,,,,,,,todo,,,,,,,,,,,,,1,yes,,0,0,0,PhysicsMuons,DoubleMuonLowMass,(L1_DoubleMu4p5_SQ_OS) AND (L1_DoubleMu4p5_SQ_OS)
HLT_Dimuon0_Upsilon_L1_4p5NoOS_v,,,,,,,todo,,,,,,,,,,,,,1,yes,,0,0,0,PhysicsMuons,DoubleMuonLowMass,L1_DoubleMu4p5_SQ_OS
HLT_Dimuon0_Upsilon_L1_4p5er2p0M_v,,,,,,,todo,,,,,,,,,,,,,1,yes,,1.63,0,180,PhysicsMuons,DoubleMuonLowMass,L1_DoubleMu4p5er2p0_SQ_OS_Mass_Min7 OR L1_DoubleMu4p5er2p0_SQ_OS_Mass_7to18
HLT_Dimuon0_Upsilon_L1_4p5er2p0_v,,,,,,,todo,,,,,,,,,,,,,1,yes,,3.26,2.85,1,PhysicsMuons,DoubleMuonLowMass,(L1_DoubleMu4p5er2p0_SQ_OS OR L1_DoubleMu4p5_SQ_OS) AND (L1_DoubleMu4p5er2p0_SQ_OS)
HLT_Dimuon0_Upsilon_L1_4p5_v,,,,,,,todo,,,,,,,,,,,,,1,yes,,0,0,1,PhysicsMuons,DoubleMuonLowMass,(L1_DoubleMu4p5_SQ_OS) AND (L1_DoubleMu4p5_SQ_OS)
HLT_Dimuon0_LowMass_v,,,,,,,todo,,,,,,,,,,,,,1,yes,,0.41,0,3,PhysicsMuons,DoubleMuonLowMass,(L1_DoubleMu0_SQ_OS OR L1_DoubleMu0_SQ) AND (L1_DoubleMu0_SQ_OS)
HLT_Dimuon0_LowMass_L1_TM530_v,,,,,,,todo,,,,,,,,,,,,,1,yes,,0,0,20,PhysicsMuons,DoubleMuonLowMass,L1_TripleMu_5SQ_3SQ_0OQ
HLT_Dimuon0_LowMass_L1_4R_v,,,,,,,todo,,,,,,,,,,,,,1,yes,,0,0,0,PhysicsMuons,DoubleMuonLowMass,L1_DoubleMu4_SQ_OS_dR_Max1p2 OR L1_DoubleMu4p5_SQ_OS_dR_Max1p2
HLT_Dimuon0_LowMass_L1_4_v,,,,,,,todo,,,,,,,,,,,,,1,yes,,2.44,1.63,1,PhysicsMuons,DoubleMuonLowMass,(L1_DoubleMu4_SQ_OS OR L1_DoubleMu0_SQ) AND (L1_DoubleMu4_SQ_OS)
HLT_Dimuon0_LowMass_L1_0er1p5R_v,,,,,,,todo,,,,,,,,,,,,,1,yes,,0,0,0,PhysicsMuons,DoubleMuonLowMass,L1_DoubleMu0er1p5_SQ_OS_dR_Max1p4 OR L1_DoubleMu0er1p4_SQ_OS_dR_Max1p4
HLT_Dimuon0_LowMass_L1_0er1p5_v,,,,,,,todo,,,,,,,,,,,,,1,yes,,3.67,2.85,1,PhysicsMuons,DoubleMuonLowMass,(L1_DoubleMu0er1p5_SQ_OS OR L1_DoubleMu0_SQ) AND (L1_DoubleMu0er1p5_SQ_OS)
HLT_Dimuon0_Jpsi3p5_Muon2_v,todo,,,,,,todo,,,,,,,,,,,,,2,yes,,29.33,19.96,1,PhysicsMuons,DoubleMuonLowMass,L1_TripleMu_5SQ_3SQ_0OQ_DoubleMu_5_3_SQ_OS_Mass_Max9 OR L1_TripleMu_5SQ_3SQ_0_DoubleMu_5_3_SQ_OS_Mass_Max9
HLT_Dimuon0_Jpsi_v,,,,,,,todo,,,,,,,,,,,,,1,yes,,0,0,16,PhysicsMuons,DoubleMuonLowMass,(L1_DoubleMu0_SQ_OS OR L1_DoubleMu0_SQ) AND (L1_DoubleMu0_SQ_OS)
HLT_Dimuon0_Jpsi_NoVertexing_v,,,,,,,todo,,,,,,,,,,,,,1,yes,,0.81,0,1,PhysicsMuons,DoubleMuonLowMass,(L1_DoubleMu0_SQ_OS OR L1_DoubleMu0_SQ) AND (L1_DoubleMu0_SQ_OS)
HLT_Dimuon0_Jpsi_NoVertexing_NoOS_v,,,,,,,todo,,,,,,,,,,,,,1,yes,,0.81,0,1,PhysicsMuons,DoubleMuonLowMass,L1_DoubleMu0_SQ
HLT_Dimuon0_Jpsi_NoVertexing_L1_4R_0er1p5R_v,,,,,,,todo,,,,,,,,,,,,,1,yes,,1.22,0,300,PhysicsMuons,DoubleMuonLowMass,L1_DoubleMu0er1p5_SQ_OS_dR_Max1p4 OR L1_DoubleMu0er1p4_SQ_OS_dR_Max1p4 OR L1_DoubleMu4p5_SQ_OS_dR_Max1p2 OR L1_DoubleMu4_SQ_OS_dR_Max1p2
HLT_Dimuon0_Jpsi_L1_NoOS_v,,,,,,,todo,,,,,,,,,,,,,1,yes,,0.81,0,1,PhysicsMuons,DoubleMuonLowMass,L1_DoubleMu0_SQ
HLT_Dimuon0_Jpsi_L1_4R_0er1p5R_v,,,,,,,todo,,,,,,,,,,,,,1,yes,,1.22,0,300,PhysicsMuons,DoubleMuonLowMass,L1_DoubleMu0er1p5_SQ_OS_dR_Max1p4 OR L1_DoubleMu0er1p4_SQ_OS_dR_Max1p4 OR L1_DoubleMu4p5_SQ_OS_dR_Max1p2 OR L1_DoubleMu4_SQ_OS_dR_Max1p2
HLT_EcalCalibration_v,,,,,,,,,,,,,,,,,alca,ECAL,,2,yes,,,,1,EcalCalibration,EcalLaser,(none)
HLT_Photon90_v,,todo,,,todo,todo,,,,,,,,,,,,,,3,yes,,0,0,512,PhysicsEGamma,EGamma,L1_SingleEG34er2p5 OR L1_SingleEG40er2p5 OR L1_SingleEG42er2p5 OR L1_SingleEG45er2p5 OR L1_SingleEG60
HLT_Photon90_R9Id90_HE10_IsoM_v,todo,,,,,,,,,,done,,,,,,,,,2,yes,,1.22,0.41,32,PhysicsEGamma,EGamma,L1_SingleEG40er2p5 OR L1_SingleEG42er2p5 OR L1_SingleEG45er2p5 OR L1_SingleEG60
HLT_Photon90_CaloIdL_PFHT700_v,,,,,,,,,,,,,,,,,,,,0,no,,4.48,1.22,1,PhysicsEGamma,EGamma,L1_SingleEG40er2p5 OR L1_SingleEG42er2p5 OR L1_SingleEG45er2p5 OR L1_SingleEG60
